id,name,provider,amount_display,amount_min,amount_max,deadline,category,field_of_study,eligible_stage,citizenship,minority_group,school_specific,nomination_required,nomination_notes,candidate_a_fit,candidate_b_fit,notes,url,last_verified
S001,Coca-Cola Scholars Program,Coca-Cola Scholars Foundation,"$20,000 (one-time, achievement-based)",20000,20000,"Opens Aug 3, 2026 — closes Sept 30, 2026 (for HS seniors graduating 2026-27)",General / Merit,Any / Undeclared,High school senior (apply fall of 12th grade),U.S. Citizen; U.S. National; U.S. Permanent Resident,,,False,,"Not applicable — restricted to graduating high school seniors, not already-enrolled college students.",Future opportunity — apply fall of 12th grade (~2027).,One of the largest no-restriction merit scholarships in the U.S.; 150 scholars selected annually.,https://www.coca-colascholarsfoundation.org/apply/,2026-07-19
S002,Jack Kent Cooke College Scholarship,Jack Kent Cooke Foundation,"Last-dollar award, up to $55,000/year (2026 cycle), renewable up to 4 years",5000,55000,~Mid-November annually (opens ~August),General / Merit,Any / Undeclared,High school senior with financial need (top academic performers),U.S. Citizen; U.S. Permanent Resident; DACA/eligible non-citizens,,,False,,Not applicable — for incoming (not currently-enrolled) high school seniors.,Future opportunity — apply fall of 12th grade. Strong fit given need-based + high-achievement design.,Highly competitive; requires substantial financial need documentation.,https://www.jkcf.org/our-scholarships/college-scholarship-program/,2026-07-19
S003,Horatio Alger National & State Scholarships,Horatio Alger Association,"State awards up to $10,000; National awards $25,000",10000,25000,~Early spring (state); ~October (national) — check portal annually,General / Merit,Any / Undeclared,High school senior with demonstrated financial hardship,U.S. Citizen,,,False,,"Not applicable — for incoming high school seniors, not enrolled college students.","Future opportunity — apply senior year if attending a U.S.-based high school for the application; UK-based schooling may complicate the 'U.S. high school' requirement, verify with the Association.",Emphasizes overcoming adversity; requires a critical financial-need essay.,https://scholars.horatioalger.org/scholarships/,2026-07-19
S004,Ron Brown Scholar Program,Ron Brown Scholar Program,"$40,000 total ($10,000/year x 4 years)",40000,40000,~January 9 annually,General / Merit; Minority / Heritage,Any / Undeclared,High school senior,U.S. Citizen or eligible resident,African American / Black (Nigerian-heritage/African-descent students commonly qualify),,False,,"Not applicable — for incoming high school seniors, not enrolled college students.",Future opportunity — apply fall of 12th grade. Strong fit as a Black/African-descent student interested in business.,"Emphasizes public service, entrepreneurship, and community engagement — pairs well with Candidate B's business interest.",https://www.ronbrown.org/,2026-07-19
S005,The Gates Scholarship,Bill & Melinda Gates Foundation / Scholarship America,"Last-dollar, covers full unmet need (varies; commonly $5,000-$80,000+ over 4 years)",5000,80000,~September 15 annually,General / Merit; Minority / Heritage,Any / Undeclared,"High school senior, Pell-eligible / low-income",U.S. Citizen; U.S. National; U.S. Permanent Resident,"African American, American Indian/Alaska Native, Asian & Pacific Islander American, or Hispanic American",,False,,"Not applicable — for incoming high school seniors, not enrolled college students.",Future opportunity — apply fall of 12th grade if income-eligible.,One of the largest last-dollar minority scholarships; highly selective.,https://www.thegatesscholarship.org/,2026-07-19
S006,QuestBridge National College Match,QuestBridge,"Full four-year scholarship (tuition, room & board) at partner colleges",5000,90000,~September 26 annually,General / Merit; School-Specific (Brown),Any / Undeclared,"High school senior, low-income/high-achieving","Any (including international, with some partner-school restrictions)",,Brown University is a QuestBridge partner college,False,,Not applicable this cycle — Match happens before matriculation; A has already been admitted/committed to Brown.,"Future opportunity — apply fall of 12th grade; Brown is a Match college, directly relevant if she later targets Brown.",Brown University participates as a College Match Partner — worth flagging to younger siblings/relatives applying in future cycles.,https://www.questbridge.org/high-school-students/national-college-match,2026-07-19
S007,Elks National Foundation Most Valuable Student (MVS) Scholarship,Elks National Foundation,"$4,000-$30,000 total over 4 years (500 awards; top 20 scholars receive $30,000)",4000,30000,"2027 application opens Aug 1, 2026",General / Merit,Any / Undeclared,High school senior,U.S. Citizen,,,False,,Not applicable — for incoming high school seniors.,"Future opportunity, and only if a parent/guardian has U.S. residency tied to an Elks Lodge jurisdiction — verify eligibility given UK residence.","Only the top-tier awards ($30,000, plus 480 runner-ups at $4,000) are shown; lower per-year tiers can fall below $5,000/year.",https://www.elks.org/scholars/scholarships/mvs.cfm,2026-07-19
S008,Davidson Fellows Scholarship,Davidson Institute for Talent Development,"$10,000 / $25,000 / $50,000 / $100,000 tiers",10000,100000,"2027 cycle opens Fall 2026 (2026 cycle closed Feb 18, 2026)",General / Merit; Major / Field-Specific,"STEM, Neuroscience/Cognitive Science-adjacent research projects; Humanities; Music","Age 18 or under, any schooling status, with a completed significant original project",U.S. Citizen; U.S. Permanent Resident; incl. those living abroad on U.S. military status,,,False,,"Not applicable — requires an unsubmitted, original project and typically targets pre-college applicants.","Possible fit if she completes an independent research project in business, psychology, or finance/economics before turning 18.","Rewards original research/creative projects, not just academic record — could pair with a neuroscience research project for a younger sibling in the future.",https://www.davidsongifted.org/gifted-programs/fellows-scholarship/,2026-07-19
S009,Burger King McLamore Scholars Program,Burger King McLamore Foundation,"$1,000-$60,000 (most awards $1,000-$5,000; three top awards of $60,000)",5000,60000,~Oct 15 - Dec 15 annually,General / Merit,Any / Undeclared,High school senior,U.S. Citizen or Permanent Resident,,,False,,Not applicable — for incoming high school seniors.,"Future opportunity — apply fall of 12th grade. Only the top 3 awards ($60,000) clear the $5,000 floor; most awards are smaller.","Community-service oriented; verify current-year tier structure since most awards are below $5,000.",https://www.burgerkingfoundation.org/programs/burger-king-sm-scholars,2026-07-19
S010,AXA Achievement Scholarship (Ambition Award),AXA Equitable Foundation / Scholarship America,"$2,500-$25,000 (only $5,000+ tiers qualify for the 'no maximum, $5k floor' filter)",5000,25000,~December annually,General / Merit,Any / Undeclared,High school senior,U.S. Citizen or Permanent Resident,,,False,,Not applicable — for incoming high school seniors.,Future opportunity — apply fall of 12th grade.,Rewards ambition/self-drive and risk management-related essay prompts — could resonate with a finance-interested applicant.,https://scholarsapply.org/axaachievement/,2026-07-19
S011,Dell Scholars Program,Michael & Susan Dell Foundation,"$20,000 over 4 years + laptop + wraparound support",20000,20000,~December annually,General / Merit,Any / Undeclared,"High school senior, Pell-eligible, in an approved college-readiness program",U.S. Citizen or Permanent Resident,,,False,,Not applicable — for incoming high school seniors.,Likely not applicable — requires enrollment in a specific U.S. college-readiness program list; unlikely available in the UK. Verify directly.,Strong fit for low-income first-generation students; program-participation requirement is the key barrier.,https://www.dellscholars.org/,2026-07-19
S012,Bank of America Student Leaders Program,Bank of America,"$5,000 stipend + paid 6-8 week nonprofit internship + Washington, D.C. Leadership Summit",5000,5000,~January 15 annually (opens previous fall),Major / Field-Specific (Business/Finance); Leadership,Business / Finance / Leadership,Current high school junior or senior (11th or 12th grade),U.S. residency/eligibility to work required for the local internship placement — verify for UK-based applicants,,,False,"Requires a recommendation from a teacher, counselor, or community leader (not a formal school nomination).",Not applicable — restricted to current high school juniors/seniors.,"Directly eligible now as an 11th grader — strong fit for her business/finance interest, though the U.S.-market internship logistics need confirming given UK residence.","One of the few nationally-known programs open to juniors, not just seniors.",https://about.bankofamerica.com/en/making-an-impact/student-leaders,2026-07-19
S013,DECA Inc. Scholarships — Anderson Advisors Award,DECA Inc. (corporate partner: Anderson Advisors),"$5,000 (4 awards)",5000,5000,"~January 11, 2027 (2026-27 cycle)",Major / Field-Specific (Business/Finance),Finance; Accounting; Sales; Marketing,"High school junior, senior, or current college student",Open to DECA members; check nationality requirements on current guidelines,,,False,,"Not applicable — business/finance focus does not match Cognitive Neuroscience, and program targets DECA members.","Directly eligible now as an 11th grader interested in finance, if she can join a DECA chapter (in-person or DECA Direct virtual membership) — verify international membership options.","DECA also offers smaller $2,000 general awards (below the $5,000 floor, not listed here).",https://www.deca.org/scholarships,2026-07-19
